status,company,contaminant,cause,sitelocationname,spillareahabitat,statesaffected,incident_year,incident_month
0,66,17,11,3908,44,33,2019.0,4.0
0,34,17,11,1203,44,5,2007.0,2.0
0,34,19,11,9001,16,33,2015.0,11.0
0,34,17,11,5086,16,33,2015.0,5.0
0,31,17,1,927,16,8,2026.0,1.0
0,31,17,13,1652,44,8,2017.0,6.0
3,70,17,11,7987,16,33,2020.0,8.0
0,23,17,1,4506,44,8,2020.0,3.0
0,66,17,11,9047,16,33,2012.0,6.0
0,16,17,11,5044,44,33,2018.0,4.0
0,7,17,11,9764,44,8,2012.0,2.0
0,34,88,13,10560,44,5,2011.0,6.0
0,34,17,11,3087,16,33,2023.0,9.0
0,58,17,11,8034,16,15,2011.0,11.0
0,58,88,11,7954,16,23,2014.0,3.0
3,34,17,11,11206,16,33,2014.0,5.0
2,70,17,1,8785,16,33,2019.0,9.0
0,34,17,11,2970,44,5,2016.0,3.0
0,34,17,11,7089,16,33,2011.0,9.0
0,61,17,1,5524,36,8,2026.0,5.0
0,34,17,11,164,44,5,2018.0,12.0
0,66,17,11,1257,16,33,2022.0,2.0
0,34,17,11,5454,44,5,2014.0,2.0
0,34,17,1,4805,16,19,2010.0,10.0
0,34,17,11,494,44,5,2015.0,9.0
2,34,17,11,107,57,5,2015.0,1.0
0,58,17,11,7228,16,25,2012.0,10.0
0,66,17,1,5082,44,5,2018.0,9.0
0,34,14,11,10615,57,33,2018.0,4.0
0,34,17,11,3932,16,33,2023.0,12.0
0,66,17,11,6046,16,33,2019.0,6.0
0,34,17,11,2231,44,5,2010.0,12.0
0,34,17,11,4192,16,33,2022.0,12.0
0,34,14,11,9071,16,33,2017.0,6.0
0,34,17,11,156,44,5,2020.0,11.0
0,34,17,11,2903,44,5,2016.0,8.0
2,34,17,11,11281,16,33,2022.0,8.0
0,7,17,1,6385,44,43,2008.0,3.0
0,34,17,11,10472,16,5,2013.0,2.0
3,34,17,11,9845,36,33,2021.0,7.0
0,34,17,1,6276,16,19,2010.0,8.0
0,23,17,0,4374,44,8,2025.0,5.0
0,66,17,1,8816,16,33,2011.0,7.0
