id,updatefor,status,zonaloffice,company,incidentnumber,incidentdate,reportdate,contaminant,estimatedquantity,quantityrecovered,spillstopdate,typeoffacility,cause,initialcontainmentmeasures,sitelocationname,latitude,longitude,lga,estimatedspillarea,spillareahabitat,descriptionofimpact,statesaffected,attachments,formadate,formbdate,formcdate,jivdate,jivpresent,cleanupdate,cleanupcompleteddate,cleanupmethods,postcleanupinspectiondate,postimpactassessmentdate,remediationstart,remediationend,remediationtype,finalsamplingdate,finallabresultsdate,certificatedate,certificatenumber,lastupdatedby
2,,confirmed,,ADDAX,HSE/OBO/0611/101,2006-11-23,,cr,225,,,,,,"Subsea Pipeline @ Mimbo Platform (OML123)",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
3,,confirmed,,ADDAX,HSE/OBO/0612/108,2006-12-18,,cr,0.5,,,,eqf,,"EBNE04HT @ Ebughu Platform (OML 123)",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
4,,confirmed,,ADDAX,HSE/OBO/0612/110,2006-12-27,,cr,25,,,,,,"South East of BOGI Platform",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
5,,confirmed,,ADDAX,HSE/OBO/0706/166,2007-05-14,,cr,2,,,,,,"Adanga Platform   ",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
6,,confirmed,,ADDAX,HSE/OBO/0708/201,2007-08-16,,gs,,,,,,,"Izombe Well #10LS 4"" Flowline",,,,,la,,,,,,,,,,,,,,,,,,,,,NOSDRA
7,,confirmed,,ADDAX,HSE/OBO/0708/213,2007-08-30,,cr,200,,,,,,"Moni Pulo 12"" Pipeline Offshore OML 123",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
8,,confirmed,,ADDAX,,2007-10-25,,cr,0.25,,,,,,"Ossu- Izombe 6"" Flowline",,,,,la,,,,,,,,,,,,,,,,,,,,,NOSDRA
9,,confirmed,,ADDAX,HSE/OBO/0711/244,2007-11-20,,other:,0.4,,,,,,"Akam Platform/OML 123 ",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
10,,confirmed,,ADDAX,HSE/OBO/0712/262,2007-12-23,,cr,0.2,,,,,,"Ossu 9H Manifold Diverter Valve/OML 124",,,,,la,,,,,,,,,,,,,,,,,,,,,NOSDRA
11,,confirmed,,ADDAX,HSE/OBO/0108/284,2008-01-02,,cr,10,,,,,,"OML 126  ",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
12,,confirmed,,ADDAX,HSE/OBO/0208/310,2008-02-24,,cr,6,,,,eqf,,"Ossu 8 Choke Box/OML 124",,,,,la,,,,,,,,,,,,,,,,,,,,,NOSDRA
13,,confirmed,,ADDAX,HSE/OBO/0308/321,2008-03-23,,cr,3,,,,,,"Antan Terminal/OML 123 ",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
14,,confirmed,,ADDAX,HSE/OBO/0308/330,2008-03-28,,cr,1,,,,,,"Calm Buoy/OML 123",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
15,,confirmed,,ADDAX,HSE/OBO/0108/274,2008-05-01,,cr,0.03,,,,,,"Ossu Ois 4"" Flowline/OML124",,,,,la,,,,,,,,,,,,,,,,,,,,,NOSDRA
16,,confirmed,,ADDAX,HSE/OBO/0608/399,2008-06-25,,cr,5,,,,eqf,,"Akam Terminal Offshore OML 123",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
17,,confirmed,,ADDAX,HSE/OBO/0208/293,2008-12-02,,cr,0.5,,,,ome,,"Antan Terminal Offshore OML 123",,,,,la,,,,,,,,,,,,,,,,,,,,,NOSDRA
18,,confirmed,,ADDAX,HSE/OBO/0309/546,2009-02-28,,cr,3.7,,,,,,"Offshore (OML 123)   ",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
19,,confirmed,,ADDAX,HSE/OBO/0309/559,2009-03-11,,cr,30,,,,eqf,,"Izombe Flowstation API system/OML-124",,,,,la,,,,,,,,,,,,,,,,,,,,,NOSDRA
20,,confirmed,,ADDAX,HSE/OBO/0609/627,2009-05-16,,cr,1,,,,other:,,"Adanga field [OML 123]    ",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
21,21,confirmed,,ADDAX,HSE/OBO/0610/793,2010-05-31,,cr,350,,,,eqf,,"Antan Terminal",4.2000000,8.3333750,,,of,,"C R O S S  R I V E R",[],,,,2010-06-03,,,,,,,,,,,,,,"NOSDRA, 2017-10-10 PH002"
22,,confirmed,,ADDAX,HSE/OBO/0610/790,2010-05-31,,cr,350,,,,eqf,,"Antan Terminal OML 123",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
23,,confirmed,,ADDAX,HSE/OBO/0710/805,2010-07-22,,cr,,,,,,,"20'' Export Hose-OML123 (Antan Terminal)",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
24,,confirmed,,ADDAX,HSE/OMO/0211/873,2011-02-01,,cr,,,,,,,"OML 126 FPSO",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
25,,confirmed,,ADDAX,HSE/OMO/0211/878,2011-02-05,,,,,,,,,"Izombo-Ebocha 10"" Pipeline at Muaha/OML 124",,,,,,,,,,,,,,,,,,,,,,,,,,NOSDRA
26,,confirmed,,ADDAX,HSE/OBO/0311/913,2011-03-21,,cr,0.1,,,,,,"Ossu 6""oil line",,,,,la,,,,,,,,,,,,,,,,,,,,,NOSDRA
27,,confirmed,,ADDAX,HSE/OBO/0610/793,2011-06-27,,cr,1,,,,,,"Abacheke Section of 10'' MOL/OML124",,,,,,,,,,,,,,,,,,,,,,,,,,NOSDRA
28,,confirmed,,ADDAX,HSE/OBO/0710/805,2012-07-24,,cr,1000,,,,,,"Crude Oil Pipeline OML:123",,,,,of,,,,,,,,,,,,,,,,,,,,,NOSDRA
29,,confirmed,,ADDAX,,2012-12-17,,gs,0,,,,eqf,,"OML 126",,,,,of,,RI,,,,,2013-01-03,,,,,,,,,,,,,,NOSDRA
30,,confirmed,,ADDAX,,2013-01-09,,cr,9.5,,,,sab,,"10"" MOL D/L AT ABEZI",5.4910556,6.7066389,Ohaji/Egbema,,la,,IM,,,,,2013-01-12,,,,,,,,,,,,,,NOSDRA
31,,confirmed,,ADDAX,HSE/OMO/0211/873,2013-01-10,,cr,,,,,,,"RIGHT OF WAY, ABEZI SECTION",,,,,sw,,,,,,,,,,,,,,,,,,,,,NOSDRA
32,32,confirmed,ab,ADDAX,,2013-01-18,,cr,10,,,,cor,,"OSSU-IZOMBE 6"" P/L ROW AT UGBELLE",5.6220278,6.8042778,Oguta,,sw,,IM,[],,,,2013-03-27,,,,,,,,,,,,2014-03-04,NOSDRA/RS/003814,"NOSDRA, 2016-01-11 AB012, 2016-01-13 AB008"
33,,confirmed,,ADDAX,HSE/IFS/0113/001,2013-01-28,,cr,10,,,,cor,,"OSSU-IZOMBE BULKLINE R.O.W",5.6220278,6.8042778,Oguta,,sw,,IM,,2013-01-30,,,2013-01-31,,,,,,,,,,,,,,NOSDRA
34,,confirmed,,ADDAX,HSE/IFS/0213/002,2013-02-02,,cr,1,,,,cor,,"FLOWSTATION ROW AT IZOMBE",5.6163056,6.8178611,Oguta,,la,,IM,,,,,2013-02-05,,,,,,,,,,,,,,NOSDRA
35,,confirmed,,ADDAX,HSE/OBO/0311/913,2013-03-04,,cr,0.4,,,,,,"Okwuzi section of ROW of the Izombe-Ebocha",,,,,sw,,,,,,,,,,,,,,,,,,,,,NOSDRA
37,,confirmed,,ADDAX,HSE/HS/0313/004,2013-03-10,,cr,175,,,,sab,,"OSSU-IZOMBO BULKLINE ROW",5.6263056,6.79525,Oguta,,sw,,IM,,2013-03-11,,,2013-03-28,,,,,,,,,,,,,,NOSDRA
38,,confirmed,,ADDAX,HSE/IFS/0113/002,2013-05-08,,cr,0.1,,,,cor,,"4"" F/L AT IZOMBE F/S",5.6153889,6.8191389,Oguta,,la,,IM,,,,,2013-05-10,,,,,,,,,,,,,,NOSDRA
39,,confirmed,,ADDAX,HSE/IFS/0613/005,2013-06-30,,cr,60,,,,sab,,"IZOMBE EBOCHA P/L",5.4916389,6.7056944,Ohaji/Egbema,,la,,,,,,,2013-07-01,,,,,,,,,,,,,,NOSDRA
